"last_name, first_name","player_id","year","pa","home_run","strikeout","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","oz_swing_percent","whiff_percent","swing_percent"
"Davis, Khris","501981","2018","654","48","175",26.8,9,".247",".549",".326",".365",".376",37.7,17.2,48.1,"102.732917228","95.842457104",23.2,33.7,49.3
"Pham, Tommy","502054","2018","570","21","140",24.6,11.8,".275",".464",".367",".359",".376",38.7,10.1,49.9,"102.781071517","96.114537978",19.1,25.4,39.8
"Martinez, J.D.","502110","2018","649","43","146",22.5,10.6,".330",".629",".402",".427",".418",40,16,52.7,"103.681482791","96.582993333",29.3,28.2,50.3
"Goldschmidt, Paul","502671","2018","690","33","173",25.1,13,".290",".533",".389",".390",".384",37.1,13.6,44,"101.82062219","95.180345881",26,26.4,42.4
"Gonzalez, Marwin","503556","2018","552","16","126",22.8,9.6,".247",".409",".324",".318",".321",35.7,6.8,41.5,"99.618396872","93.945171401",29.8,24.3,44.4
"Altuve, Jose","514888","2018","599","13","79",13.2,9.2,".316",".451",".386",".363",".352",34,5.9,33.8,"98.154526533","93.131461867",30.2,17.9,47.4
"Hernández, César","514917","2018","708","15","155",21.9,13.4,".253",".362",".356",".320",".315",30.2,4.2,28.5,"96.430238082","92.227163181",18,20.1,38.2
"Segura, Jean","516416","2018","632","10","69",10.9,5.1,".304",".415",".341",".327",".310",30,3.6,32.3,"97.786619923","92.937096615",32,12.6,49
"Castro, Starlin","516770","2018","647","12","124",19.2,7.4,".278",".400",".329",".315",".311",32,6.9,36.2,"99.029341092","93.607510063",27.4,22.8,46
"Marte, Starling","516782","2018","606","20","109",18,5.8,".277",".460",".327",".337",".335",31.5,7.5,38.8,"99.447829005","93.857964966",34.2,23.9,54.5
"Dietrich, Derek","518618","2018","551","16","140",25.4,5.3,".265",".421",".330",".326",".303",34.1,6.1,37.8,"99.045312376","93.544161413",31.8,25.4,50.5
"Freeman, Freddie","518692","2018","707","23","132",18.7,10.7,".309",".505",".388",".378",".388",44.7,9.3,39.8,"99.091841098","93.722198676",31.1,24.3,55.6
"Grandal, Yasmani","518735","2018","518","24","124",23.9,13.9,".241",".466",".349",".352",".337",32.9,11.6,40.4,"99.742040255","93.988959204",19.8,28,38.5
"LeMahieu, DJ","518934","2018","581","15","82",14.1,6.4,".276",".428",".321",".322",".326",31.3,5.2,43.2,"100.986973904","94.873592632",23.2,14,41.9
"Moustakas, Mike","519058","2018","635","28","103",16.2,7.7,".251",".459",".315",".329",".336",31.3,8.8,39.1,"100.225167764","94.281679979",34.2,21.9,52.2
"Rizzo, Anthony","519203","2018","665","25","80",12,10.5,".283",".470",".376",".359",".367",36.2,6.5,40.6,"100.439451098","94.335677882",29.7,17,47.7
"Stanton, Giancarlo","519317","2018","705","38","211",29.9,9.9,".266",".509",".343",".360",".345",30,15.1,50.8,"106.893910918","98.042255411",28.7,34.4,44.9
"Galvis, Freddy","520471","2018","656","13","147",22.4,6.9,".248",".380",".299",".294",".273",32.3,3.9,28.9,"96.514213591","92.377750068",35,26.3,50.3
"Perez, Salvador","521692","2018","544","27","108",19.9,3.1,".235",".439",".274",".304",".334",35.4,10.8,47.5,"101.386645369","95.018960271",44.2,23.8,57
