"last_name, first_name","player_id","year","pa","home_run","strikeout","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","oz_swing_percent","whiff_percent","swing_percent"
"Anderson, Chase","502624","2018","644","30","128",19.9,8.9,".228",".426",".305",".317",".330",34.5,8.8,30.8,"76.343084091","93.040743818",27.4,21.8,47.2
"Holland, Derek","502706","2018","727","19","169",23.2,9.2,".241",".405",".313",".309",".312",34.1,6.6,35.4,"77.555262532","93.635942743",27.5,23.8,47
"Bettis, Chad","518452","2018","518","18","80",15.4,9.1,".265",".454",".337",".339",".343",30.1,7.3,38.6,"77.266078413","94.106074775",22.3,21.1,43.7
"Bumgarner, Madison","518516","2018","551","14","109",19.8,7.8,".238",".390",".304",".300",".321",34.3,8.4,35.5,"77.660434615","93.650850257",26.5,21.4,46.8
"Duffy, Danny","518633","2018","692","23","141",20.4,10.1,".264",".426",".341",".333",".346",36.7,7.3,37.3,"78.254860297","93.611657818",25.8,23.3,46.1
"Harvey, Matt","518774","2018","663","27","131",19.8,5.6,".271",".466",".317",".334",".319",32.3,8,40,"79.755514748","94.483225399",24.7,20.5,49
"Porcello, Rick","519144","2018","808","27","190",23.5,5.9,".241",".399",".299",".303",".311",33.8,7,35.7,"78.511315127","93.854074499",27.8,20.5,47.1
"Sale, Chris","519242","2018","617","11","237",38.4,5.5,".181",".288",".243",".237",".233",31.9,7.5,26.8,"74.146397669","92.528917117",33,34.9,48.2
"Zimmermann, Jordan","519455","2018","556","28","111",20,4.7,".269",".497",".303",".338",".327",38.6,9.6,38.4,"78.618285314","93.904943237",30.1,20.5,48.5
"Teheran, Julio","527054","2018","724","26","162",22.4,11.6,".196",".374",".298",".295",".324",34.5,7.2,36.7,"78.445574805","93.562641302",25.6,28.4,43.1
"Anderson, Tyler","542881","2018","736","30","164",22.3,7.9,".248",".448",".308",".323",".296",35.8,5.7,31.4,"77.142577937","93.073733618",26.9,25.2,49.1
"Cole, Gerrit","543037","2018","799","19","276",34.5,8,".198",".332",".269",".265",".271",35.8,6.2,39.8,"78.980530897","93.793774719",29.2,30.8,49.6
"Gaviglio, Sam","543208","2018","548","21","105",19.2,6.9,".281",".470",".335",".344",".330",31.4,6.7,40.4,"77.848396091","94.112764351",26.1,20.9,43.8
"Gray, Sonny","543243","2018","582","14","123",21.1,9.8,".270",".419",".349",".336",".322",30.5,6.3,39.5,"77.528016218","94.004006762",26.2,25.1,43
"Hendricks, Kyle","543294","2018","812","22","161",19.8,5.4,".247",".391",".294",".295",".300",32.6,5.7,30.8,"74.975273162","92.907246598",29.7,21.7,44.7
"Montgomery, Mike","543557","2018","534","10","86",16.1,7.3,".272",".391",".333",".315",".325",31.1,3.7,38.7,"76.841001327","93.572425064",27.1,21.3,46.4
"Odorizzi, Jake","543606","2018","711","20","162",22.8,9.8,".242",".419",".324",".322",".332",35.2,7.4,39,"78.555609372","93.924690112",29.3,24.7,47.4
"Roark, Tanner","543699","2018","760","24","146",19.2,6.6,".262",".422",".319",".319",".318",32.7,6,33.6,"76.992998608","93.388263945",28.2,20.1,45.8
"Strasburg, Stephen","544931","2018","544","18","156",28.7,7,".240",".409",".302",".306",".306",35.1,7.3,38.9,"78.67185","94.003158843",29.9,27.7,46.8
"Bauer, Trevor","545333","2018","717","9","221",30.8,7.9,".208",".302",".280",".260",".260",33,4.4,29.1,"77.965412547","92.860139007",28.8,31.5,45.1
"Tanaka, Masahiro","547888","2018","635","25","159",25,5.5,".240",".422",".290",".307",".305",31.8,7.1,38.1,"78.301194977","93.874537271",33.7,29.4,50.4
"Stripling, Ross","548389","2018","503","18","136",27,4.4,".257",".431",".291",".309",".270",34.3,5.8,31.7,"78.047433742","92.893034847",31.3,25.3,48.3
"Wheeler, Zack","554430","2018","744","14","179",24.1,7.4,".225",".320",".291",".272",".278",32.9,4.8,27.1,"75.422836173","92.398570412",30.5,24.5,49.2
"Ureña, José","570632","2018","712","19","130",18.3,7.2,".242",".381",".308",".298",".311",30.3,6.2,36.2,"77.792187843","93.641051667",28.2,20.2,47.5
"Boyd, Matthew","571510","2018","709","27","159",22.4,7.2,".228",".410",".294",".305",".287",34.4,6.1,32.3,"77.335605187","92.730585239",25.7,23.4,46.5
"Corbin, Patrick","571578","2018","800","15","246",30.8,6,".218",".337",".270",".265",".283",31.1,5.8,35.6,"77.787217137","93.521333354",34.7,34.3,47.6
"Fiers, Mike","571666","2018","714","32","139",19.5,5.2,".249",".450",".296",".319",".336",33.2,10.4,37.4,"79.904929198","93.997538092",27.4,19.8,46.6
"Heaney, Andrew","571760","2018","749","27","180",24,6,".248",".419",".300",".310",".311",36.2,7.8,37.2,"76.27365626","93.602442327",30.4,26.3,48.5
"Matz, Steven","571927","2018","654","25","152",23.2,8.9,".232",".419",".312",".317",".302",29,7.4,36.6,"78.962315498","93.648047678",21.2,23,43.5
"Mikolas, Miles","571945","2018","808","16","146",18.1,3.6,".245",".350",".278",".271",".286",31.5,5.1,29.4,"76.173718553","92.670905865",34.1,20.2,52.5
"Paxton, James","572020","2018","645","23","208",32.2,6.5,".224",".386",".275",".287",".287",36.3,9.4,42.1,"79.950562577","94.381203557",32,30,52.6
"Skaggs, Tyler","572140","2018","533","14","129",24.2,7.5,".262",".413",".323",".320",".304",33.1,6.1,38.7,"79.288082784","93.882256449",29.3,25.7,47
"Keuchel, Dallas","572971","2018","874","18","153",17.5,6.6,".263",".393",".311",".305",".293",29,4.5,33,"76.207144634","93.215602668",29.1,19.7,45.3
"Straily, Dan","573185","2018","518","20","99",19.1,10,".237",".431",".323",".324",".354",36.1,7.5,41.4,"80.091738171","94.368145301",27.6,23.7,46.8
"Covey, Dylan","592229","2018","541","13","91",16.8,9.4,".269",".394",".340",".319",".329",30,5.3,37.3,"78.15821","93.537936692",23.5,17.4,44.6
"Foltynewicz, Mike","592314","2018","743","17","202",27.2,9.2,".195",".324",".275",".265",".274",30.8,6.9,34.5,"78.613296983","93.337673211",24.3,25.1,44
"Gausman, Kevin","592332","2018","776","26","148",19.1,6.4,".264",".436",".317",".324",".333",33.5,7.4,40.8,"77.951337254","94.193265704",30.2,24.7,49.3
"Gray, Jon","592351","2018","742","27","183",24.7,7,".266",".451",".322",".332",".307",31.9,5.8,37.9,"79.780287358","93.996075703",25.7,28.8,45.9
"Ray, Robbie","592662","2018","526","19","165",31.4,13.3,".216",".379",".328",".312",".309",36.4,8.7,41.6,"79.482970426","94.496902057",27.7,32,43
"Syndergaard, Noah","592789","2018","644","9","155",24.1,6.1,".250",".348",".303",".285",".267",29.1,2,26.6,"74.42863656","92.581566943",33.4,28.2,50.9
"Taillon, Jameson","592791","2018","785","20","179",22.8,5.9,".246",".385",".296",".294",".290",35,4.3,31.9,"77.767895667","92.920155889",30.9,23.8,49.3
"Velasquez, Vince","592826","2018","630","16","161",25.6,9.4,".250",".418",".329",".325",".296",32.3,5.2,34.8,"79.620469175","93.751432268",24.6,26.7,46.9
"Williams, Trevor","592866","2018","701","15","126",18,7.8,".231",".364",".295",".287",".309",34.3,5.8,31,"76.001327849","92.883373832",28.3,18.7,47.2
"Martinez, Carlos","593372","2018","521","5","117",22.5,11.5,".228",".314",".333",".291",".297",29.4,3.9,31.5,"74.021782531","93.051969753",28.9,24.7,47.5
"Rodriguez, Eduardo","593958","2018","553","16","146",26.4,8.1,".238",".377",".304",".298",".299",37.7,6.7,33,"77.794729774","93.137512663",28.8,26.2,47.5
"deGrom, Jacob","594798","2018","835","10","269",32.2,5.5,".196",".277",".244",".230",".243",32.2,4.1,28.9,"75.417923083","92.619660514",35.1,31,52.5
"Gonzales, Marco","594835","2018","686","17","145",21.1,4.7,".267",".414",".307",".311",".311",37.8,5.4,35,"78.18887644","93.497978357",32.9,21,48.4
"Junis, Jakob","596001","2018","758","32","164",21.6,5.7,".265",".455",".318",".331",".323",34.5,8.6,35.6,"78.301945","93.595588475",29.4,22,46.9
"Weaver, Luke","596133","2018","609","19","121",19.9,8.9,".277",".441",".345",".340",".331",37.4,6.3,35,"77.08313654","93.458152796",24.7,22.2,46.6
"Pivetta, Nick","601713","2018","694","24","188",27.1,7.3,".261",".423",".320",".322",".292",34.1,7.8,34.9,"79.07837838","93.549015058",29.1,27.2,48.1
"Bundy, Dylan","605164","2018","750","41","184",24.5,7.2,".274",".523",".332",".363",".323",37.9,8.5,37.4,"79.34909772","93.785211583",29.9,26.8,50.3
"Clevinger, Mike","605182","2018","809","21","207",25.6,8.3,".223",".365",".290",".288",".283",32,5.6,31.8,"76.362553053","92.862517252",27.5,27.8,46.4
"Fulmer, Michael","605242","2018","558","19","110",19.7,8.2,".254",".437",".321",".327",".333",34.5,6.5,38.2,"78.799666907","94.123362506",30.5,23.2,50.2
"Nola, Aaron","605400","2018","831","17","224",27,7,".197",".311",".259",".251",".258",27.9,4.6,31.2,"76.78916375","92.730845284",30,27.5,47.6
"Snell, Blake","605483","2018","700","16","221",31.6,9.1,".178",".300",".254",".246",".274",33.1,7.2,32.7,"76.84673561","93.090740098",30.8,34.6,45.4
"Suárez, Andrew","605498","2018","665","23","130",19.5,6.8,".269",".447",".320",".328",".334",31.4,7.6,38.1,"78.787631639","94.190472269",26.7,18,46
"Rodón, Carlos","607074","2018","510","15","90",17.6,10.8,".220",".376",".322",".309",".313",28.3,5.1,34.3,"77.18702125","93.163799176",24.8,21.2,45.6
"Romano, Sal","607219","2018","644","23","105",16.3,8.2,".267",".453",".331",".334",".338",32.2,8.1,34.2,"77.646058602","93.509477775",27.6,18.1,47.3
"Freeland, Kyle","607536","2018","844","17","173",20.5,8.3,".240",".358",".308",".292",".300",30.9,5,29.2,"76.369316014","92.633889036",28.2,21.5,45.8
"Giolito, Lucas","608337","2018","775","27","125",16.1,11.6,".250",".444",".350",".345",".348",30.5,7,37.1,"78.620984037","93.523389574",24.8,21.4,43.4
"Márquez, Germán","608566","2018","815","24","230",28.2,7,".241",".398",".300",".300",".282",31.5,5.6,39.1,"79.04423537","94.148958343",28.2,28.1,47.4
"Stratton, Chris","608717","2018","625","19","112",17.9,8.6,".273",".455",".336",".339",".356",38.7,7,38.8,"81.13657489","94.100184901",24.3,20.8,45.9
"Chen, Wei-Yin","612672","2018","572","19","111",19.4,8.2,".256",".432",".316",".318",".288",35,5.3,31.5,"77.5692088","92.81238745",24.9,20.3,45.5
"Eflin, Zach","621107","2018","548","16","123",22.4,6.8,".261",".433",".313",".318",".293",30.6,5.7,33.2,"76.424857273","93.235993396",28.3,23.7,48.8
"Buehler, Walker","621111","2018","541","12","151",27.9,6.8,".193",".300",".256",".247",".260",25.9,4.3,32,"78.064161845","92.93610003",30,25.5,49.1
"McCullers Jr., Lance","621121","2018","527","12","142",26.9,9.5,".215",".355",".298",".289",".299",32,8.2,35.1,"79.013770491","93.829788558",28.5,31.3,45.5
"Berríos, José","621244","2018","797","25","202",25.3,7.7,".222",".372",".293",".292",".295",28.8,6,34.4,"75.742294549","93.411849076",30.6,25.6,47.9
"Blach, Ty","621389","2018","512","8","75",14.6,8,".289",".399",".347",".325",".331",30.1,4.8,35.7,"77.290852292","93.770764465",25.2,18,43.9
"Wood, Alex","622072","2018","637","14","135",21.2,6.3,".247",".363",".301",".288",".290",31.3,4.6,33.7,"78.206662018","93.125418094",32.3,23.7,49
"Castillo, Luis","622491","2018","708","28","165",23.3,6.9,".245",".431",".301",".314",".318",33.7,8.8,39.5,"77.787950788","94.033699958",29.6,28.6,49.6
"Severino, Luis","622663","2018","780","19","220",28.2,5.9,".238",".379",".288",".290",".298",36.7,7.7,34.7,"77.93695627","93.467707917",29.6,26.8,49.7
"López, Reynaldo","625643","2018","799","25","151",18.9,9.4,".234",".400",".313",".310",".335",37.5,7.3,36.1,"77.951526929","93.421050446",26,21.3,47.4
"Maeda, Kenta","628317","2018","532","13","153",28.8,8.1,".240",".399",".308",".304",".287",36.3,5.7,32.3,"76.660101795","93.070558167",31.7,31.3,49.9
"Manaea, Sean","640455","2018","654","21","108",16.5,4.9,".232",".385",".278",".287",".329",31.6,7.9,39.7,"79.547834132","94.008319048",29.4,20,51.2
"Keller, Brad","641745","2018","583","7","96",16.5,8.6,".252",".335",".317",".290",".301",28,4.6,31.6,"77.967599395","93.122944149",28.2,21.2,45.9
"Lauer, Eric","641778","2018","504","15","100",19.8,9.1,".285",".442",".358",".347",".333",37.5,6,35.2,"77.671561392","93.646203354",25.4,19.9,46.9
"Mahle, Tyler","641816","2018","506","22","110",21.7,10.5,".283",".486",".361",".360",".338",37.1,9.1,40.3,"80.223403902","94.259831067",27.1,24,47.7
"Yarbrough, Ryan","642232","2018","628","18","128",20.4,8,".246",".414",".316",".314",".317",36.7,6.3,26.9,"74.639059636","92.423728318",29.9,20.6,48.2
"Barria, Jaime","642545","2018","537","17","98",18.2,8.8,".242",".402",".317",".315",".327",34,7.3,33.2,"79.214828281","93.228754935",28.4,24.3,45.9
"Godley, Zack","643327","2018","791","16","185",23.4,10.2,".260",".389",".345",".322",".334",33.3,6.4,38.8,"79.458104418","94.040489257",29.2,27.3,44.4
"Flaherty, Jack","656427","2018","615","20","182",29.6,9.6,".199",".345",".290",".281",".279",30.9,6.6,34.7,"75.328739667","93.218216518",27.9,31.2,46.5
"Newcomb, Sean","656794","2018","696","18","160",23,11.6,".226",".362",".316",".300",".297",32.2,4.2,31.9,"77.496915089","92.890019016",24.9,24.7,44.6
"Lucchesi, Joey","664192","2018","548","23","145",26.5,7.8,".254",".450",".316",".328",".321",34.6,8.7,40.5,"78.805126826","94.159566486",25.4,25.5,44.2
"Richards, Trevor","670950","2018","547","15","130",23.8,9.9,".253",".422",".332",".324",".319",39.9,6.1,36.3,"77.641504261","93.486585284",28.4,25.7,45.7
"Wainwright, Adam","425794","2019","745","22","153",20.5,8.6,".273",".440",".342",".330",".329",32.1,6.5,39.2,"78.292462056","93.845111434",25.2,19,42.4
"Greinke, Zack","425844","2019","810","21","187",23.1,3.7,".228",".364",".260",".263",".281",34.1,6.3,33.3,"77.091723759","92.997307621",33.1,24.1,46.7
"Hamels, Cole","430935","2019","617","17","143",23.2,9.1,".260",".406",".334",".317",".322",31.1,7.6,41.3,"80.11781685","94.44789115",27.8,27.2,47.3
"Verlander, Justin","434378","2019","847","36","300",35.4,5,".172",".361",".219",".243",".248",30.1,7.2,33.3,"76.535831441","93.055670637",35.3,33.6,51.9
"Sánchez, Aníbal","434671","2019","712","22","134",18.8,8.1,".236",".406",".302",".296",".312",37.8,6.6,28.3,"76.624751693","92.714450571",32.2,22.3,48.4
"Morton, Charlie","450203","2019","790","15","240",30.4,7.2,".215",".340",".283",".270",".274",34.3,5,32.8,"75.623727833","93.081770919",30.9,29.6,47.4
"Vargas, Jason","450306","2019","649","21","124",19.1,9.7,".249",".424",".327",".318",".326",33.3,7.9,33.8,"77.052852477","93.124975473",27.9,24,43.6
"Lester, Jon","452657","2019","764","26","165",21.6,6.8,".294",".470",".345",".344",".337",37.1,7.4,34.7,"78.141982472","93.604731689",28.1,21,45.7
"LeBlanc, Wade","453281","2019","532","28","92",17.3,5.8,".291",".534",".333",".359",".343",38.5,7.8,39,"78.812888571","94.094017679",30.1,22.1,47.1
