"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Luzardo, Jesús","666200","2023","741",28.1,7.4,".307",".307",34.7,9.5,40,"78.474338846","94.421479593",31.4,48.6
"Gallen, Zac","668678","2023","846",26,5.6,".289",".314",36.4,9.2,46.2,"82.024994196","95.003873538",26.3,47.2
"Ashcraft, Graham","668933","2023","624",17.8,8.3,".339",".340",34,6.9,38.9,"76.720419821","94.143819215",22.1,48.2
"Gore, MacKenzie","669022","2023","582",25.9,9.8,".339",".347",35.1,12.1,43.7,"78.41922712","94.967012446",27.9,48.5
"Nelson, Ryne","669194","2023","619",15.5,7.4,".357",".349",37.1,11.6,42.7,"80.703908814","94.897921525",20.3,49.8
"Burnes, Corbin","669203","2023","784",25.5,8.4,".266",".285",31,5.3,32.4,"74.856549488","92.974631594",28.7,46.3
"Gilbert, Logan","669302","2023","770",24.5,4.7,".290",".297",35,9,44.6,"80.44648539","94.746169145",26.3,52.2
"Bieber, Shane","669456","2023","533",20.1,6.4,".307",".336",34.4,7.8,47.8,"81.658119741","95.361877073",24.2,46.1
"Kirby, George","669923","2023","757",22.7,2.5,".284",".305",32,7.5,40.9,"78.350455269","94.249794794",22.9,54.5
"Oviedo, Johan","670912","2023","781",20.2,10.6,".319",".329",32.2,7.6,40.2,"77.184773602","94.173687869",26,46.5
"Allen, Logan","671106","2023","537",22.2,8.9,".326",".323",34.2,7.6,39.1,"77.882028571","94.245612837",24,47.7
"Detmers, Reid","672282","2023","644",26.1,9.3,".321",".327",37.2,6.2,41.4,"79.273350299","94.457081521",27.1,48.8
"Senga, Kodai","673540","2023","694",29.1,11.1,".282",".304",31.5,6.8,40.6,"77.901311034","94.284814148",29.7,45.2
"Strider, Spencer","675911","2023","763",36.8,7.6,".279",".273",40.2,8.2,36.1,"77.7258957","93.784333768",38.6,53
"Miller, Bobby","676272","2023","505",23.6,6.3,".283",".286",33.3,6,37.6,"77.304123023","93.812180058",26.7,48.2
"Bibee, Tanner","676440","2023","585",24.1,7.7,".285",".297",37.8,6.1,38.1,"78.01009352","94.070533376",26.3,47.2
